Sex,NumVics,Age1stKill,AgeLastKill,Age Group,# Male,# Female,Race of Victim,# White,# Black,# Hisp,#Asian,AgeKill,AgeSeries,,,,,,,
1,3,32,34,30,0,3,7,2,1,0,0,32,32,,,,,,,
1,4,30,33,30,1,3,1,4,0,0,0,30,30,,,,,,,
1,11,22,25,20,11,0,1,11,0,0,0,22,22,,,,,,,
2,25,20,50,30,,,1,25,0,0,0, , ,,,,,,,
1,2,17,33,10,0,2,1,2,0,0,0,17,17,,,,,,,
1,14,38,44,30,9,5,7,10,1,0,1,38,38,,,,,,,
1,4,15,19,10,4,0,1,4,0,0,0,15,15,,,,,,,
1,2,26,27,20,0,2,1,2,0,0,0,26,26,,,,,,,
1,3,30,43,30,2,1,7,2,0,0,1,30,30,,,,,,,
1,6,30,30,30,6,0,1,6,0,0,0,30,30,,,,,,,
1,2,35,35,30,2,0,1,2,0,0,0,35,35,,,,,,,
1,8,23,25,20,7,1,1,8,0,0,0,23,23,,,,,,,
2,3,13,30,10,2,1,1,3,0,0,0,13,13,,,,,,,
2,4,34,39,30,0,4,1,4,0,0,0,,,,,,,,,
1,3,22,22,20,2,1,2,0,3,0,0,22,22,,,,,,,
1,7,32,37,30,7,0,1,7,0,0,0,32,32,,,,,,,
1,80,24,50,20,0,80,1,80,0,0,0,24,24,,,,,,,
1,3,22,28,20,0,3,1,3,0,0,0,22,22,,,,,,,
1,4,25,58,20,3,1,1,4,0,0,0,25,25,,,,,,,
1,2,24,32,20,1,1,2,0,2,0,0,24,24,,,,,,,
1,3,28,53,20,1,2,1,3,0,0,0,28,28,,,,,,,
1,18,33,47,30,18,0,7,17,0,1,0,33,33,,,,,,,
1,2,31,39,30,1,1,1,2,0,0,0,31,31,,,,,,,
1,3,18,21,10,0,3,7,2,1,0,0,18,18,,,,,,,
1,3,14,18,10,2,1,1,3,0,0,0,14,14,,,,,,,
1,5,56,56,50,5,0,1,5,0,0,0,56,56,,,,,,,
1,2,36,36,30,2,0,1,2,0,0,0,36,36,,,,,,,
1,3,20,21,20,0,3,1,3,0,0,0,20,20,,,,,,,
1,5,25,25,20,3,2,1,5,0,0,0,25,25,,,,,,,
1,1000,20,25,20,,,1,,0,0,0, , ,,,,,,,
1,3,26,37,20,0,3,1,3,0,0,0,26,26,,,,,,,
1,3,52,52,50,3,0,1,3,0,0,0,52,52,,,,,,,
1,2,30,39,30,1,1,1,2,0,0,0,30,30,,,,,,,
1,3,33,35,30,2,1,2,0,3,0,0,33,33,,,,,,,
1,3,20,27,20,0,3,1,3,0,0,0,20,20,,,,,,,
2,5,28,28,20,0,4,1,5,0,0,0,28,28,,,,,,,
2,5,53,54,50,,,1,5,0,0,0,53,53,,,,,,,
2,12,55,59,50,2,10,1,12,0,0,0,55,55,,,,,,,
1,2,39,39,30,0,2,7,1,0,1,0,39,39,,,,,,,
1,2,41,43,40,0,2,1,2,0,0,0,41,41,,,,,,,
2,2,44,46,40,2,0,1,2,0,0,0,44,44,,,,,,,
1,2,26,38,20,2,0,1,2,0,0,0,26,26,,,,,,,
1,125,25,75,20,,,4,0,0,0,125,25,25,,,,,,,
1,20,30,38,30,0,20,3,0,0,20,0,,,,,,,,,
1,4,24,24,20,4,0,2,0,4,0,0,24,24,,,,,,,
1,3,17,30,10,0,3,1,3,0,0,0,17,17,,,,,,,
1,11,32,39,30,1,10,1,11,0,0,0,32,32,,,,,,,
2,2,59,64,50,2,0,1,2,0,0,0,59,59,,,,,,,
1,3,35,35,30,0,3,1,3,0,0,0,35,35,,,,,,,
2,2,10,11,10,2,0,1,2,0,0,0,10,10,,,,,,,
1,5,18,23,10,3,2,2,0,5,0,0,18,18,,,,,,,
1,2,29,29,20,2,0,7,1,1,0,0,29,29,,,,,,,
1,5,19,19,10,4,1,2,0,5,0,0,19,19,,,,,,,
1,3,18,36,10,0,3,1,3,0,0,0,18,18,,,,,,,
1,5,22,36,20,0,5,1,5,0,0,0,22,33,,,,,,,
1,3,15,23,10,3,0,1,3,0,0,0,15,15,,,,,,,
1,8,19,30,10,5,3,1,8,0,0,0,19,29,,,,,,,
1,3,16,16,10,3,0,5,0,0,0,0,16,16,,,,,,,
1,11,20,22,20,10,1,1,11,0,0,0, , ,,,,,,,
1,11,18,20,20,10,1,1,11,0,0,0, , ,,,,,,,
2,11,30,32,30,10,1,1,11,0,0,0, , ,,,,,,,
2,11,53,55,50,10,1,1,11,0,0,0,53,53,,,,,,,
1,9,21,22,20,9,0,7,1,,4,,21,21,,,,,,,
1,2,27,27,20,0,2,1,2,0,0,0,27,27,,,,,,,
1,2,22,23,20,0,2,1,2,0,0,0,22,22,,,,,,,
1,2,24,24,20,2,0,2,0,2,0,0,24,24,,,,,,,
1,2,40,51,40,1,1,1,2,0,0,0,40,40,,,,,,,
1,2,29,50,20,1,,,1,,,,29,29,,,,,,,
1,2,33,36,30,0,2,1,2,0,0,0,33,33,,,,,,,
1,2,22,22,20,2,0,2,0,2,0,0,22,22,,,,,,,
1,2,26,37,20,2,0,1,2,0,0,0,26,26,,,,,,,
1,11,19,19,10,0,11,1,11,0,0,0, , ,,,,,,,
1,6,35,38,30,6,0,1,6,0,0,0,35,35,,,,,,,
2,20,,44,,0,20,3,0,0,20,0,,,,,,,,,
1,5,18,26,10,0,5,1,5,0,0,0,18,18,,,,,,,
1,4,23,36,20,0,4,1,4,0,0,0,23,,,,,,,,
1,2,24,24,20,2,0,1,2,0,0,0,24,24,,,,,,,
1,3,30,30,30,,1,1,3,0,0,0,30,30,,,,,,,
1,8,26,35,20,2,1,1,3,0,0,0,26,26,,,,,,,
1,6,23,24,20,1,5,1,6,0,0,0,23,23,,,,,,,
1,12,17,20,10,0,9,1,9,0,0,0,17,17,,,,,,,
1,34,37,41,30,34,0,3,0,0,34,0,37,37,,,,,,,
1,3,32,32,30,3,0,7,1,1,,,32,32,,,,,,,
1,4,26,27,20,0,4,1,4,0,0,0,26,26,,,,,,,
1,2,42,43,30,0,2,1,2,0,0,0,42,42,,,,,,,
1,7,,30,,0,7,3,0,0,7,0, , ,,,,,,,
1,3,19,19,10,2,1,2,0,3,0,0,19,19,,,,,,,
2,2,25,33,20,1,1,2,0,2,0,0,25,25,,,,,,,
1,4,24,26,20,0,4,1,4,0,0,0,24,24,,,,,,,
2,13,30,53,30,4,6,1,13,0,0,0,30,30,,,,,,,
2,3,45,51,40,3,0,1,3,0,0,0,45,45,,,,,,,
1,6,30,30,30,0,6,2,0,6,0,0,30,30,,,,,,,
1,20,34,44,30,2,2,3,0,0,20,0,34,34,,,,,,,
1,3,40,40,40,3,0,7,2,0,1,0,40,40,,,,,,,
1,2,17,18,10,0,2,3,1,1,0,0,17,17,,,,,,,
1,3,21,21,20,3,0,7,1,2,0,0,21,21,,,,,,,
1,11,30,30,30,11,0,3,0,0,11,0,30,30,,,,,,,
1,20,,,,0,20,3,0,0,20,0,,,,,,,,,
1,5,35,37,30,5,0,4,0,0,0,5,35,35,,,,,,,
1,4,38,38,30,3,1,4,0,0,0,4,30,38,,,,,,,
2,3,35,37,30,,,1,3,0,0,0,35,35,,,,,,,
1,12,26,27,20,0,12,7,10,1,1,0,26,26,,,,,,,
1,4,27,31,20,1,3,1,4,0,0,0,27,27,,,,,,,
1,50,36,39,30,0,50,1,50,0,0,0,36,36,,,,,,,
1,3,32,32,30,3,0,7,1,,1,0,32,32,,,,,,,
1,5,19,22,20,5,0,1,5,0,0,0,19,19,,,,,,,
